Year,LatGIS,LonGIS,Location,Species,Outcome
1997,-22.75,-41.88,Rio de Janeiro Brazil,White Shark,Non-fatal
1997,-35.06,118.06,Western Australia,White Shark,Non-fatal
1998,29.5,-89.18,Louisiana USA,Blacktip ,Non-fatal
1998,28.8,-80.73,Florida USA,Blacktip ,Non-fatal
1998,27.12,-80.14,Florida USA,Blacktip ,Non-fatal
1998,-34.15,24.84,South Africa,Blacktip Reef,Non-fatal
1998,29.07,-80.91,Florida USA,Hammerhead,Non-fatal
1998,29.07,-80.91,Florida USA,Lemon,Non-fatal
1998,-8.12,-34.9,Recife Brazil,Other,Fatal
1998,-8.11,-34.89,Recife Brazil,Other,Fatal
1998,-25.35,33.24,Mozambique,Other,Fatal
1998,26.72,-82.26,Florida USA,Other,Non-fatal
1998,26.28,-81.83,Florida USA,Other,Non-fatal
1998,30.28,-81.39,Florida USA,Other,Non-fatal
1998,29.31,-81.05,Florida USA,Other,Non-fatal
1998,29.23,-81,Florida USA,Other,Non-fatal
1998,29.07,-80.91,Florida USA,Other,Non-fatal
1998,29.07,-80.91,Florida USA,Other,Non-fatal
1998,29.07,-80.91,Florida USA,Other,Non-fatal
1998,29.04,-80.89,Florida USA,Other,Non-fatal
1998,29.01,-80.88,Florida USA,Other,Non-fatal
1998,28.98,-80.86,Florida USA,Other,Non-fatal
1998,18.11,-63.04,Anguilla,Other,Non-fatal
1998,-8.12,-34.9,Recife Brazil,Other,Non-fatal
1998,-8.12,-34.9,Recife Brazil,Other,Non-fatal
1998,-34.04,24.93,South Africa,Other,Non-fatal
1998,-34.03,24.93,South Africa,Other,Non-fatal
1998,-34.04,25.5,South Africa,Other,Non-fatal
1998,-33.98,25.65,South Africa,Other,Non-fatal
1998,-33.99,25.68,South Africa,Other,Non-fatal
1998,-33.69,26.68,South Africa,Other,Non-fatal
1998,-33.59,26.88,South Africa,Other,Non-fatal
1998,-32.89,28.09,South Africa,Other,Non-fatal
1998,-38.69,28.38,New Zealand,Other,Non-fatal
1998,-35.51,138.72,South Australia,Other,Non-fatal
1998,-34.05,23.38,South Africa,Sand Tiger,Non-fatal
1998,-34.05,23.38,South Africa,Sand Tiger,Non-fatal
1998,27.63,-80.35,Florida USA,Spinner,Non-fatal
1998,27.27,-80.2,Florida USA,Spinner,Non-fatal
1998,27.26,-80.19,Florida USA,Spinner,Non-fatal
1998,26.88,-80.05,Florida USA,Spinner,Non-fatal
1998,27.67,-80.36,Florida USA,Tiger,Fatal
1998,20.81,-156.62,Hawaii USA,Tiger,Non-fatal
1998,-33.1,27.77,South Africa,Tiger,Non-fatal
1998,-18.63,146.5,Queensland Australia,Tiger,Non-fatal
1998,-32.94,28.04,South Africa,White Shark,Fatal
1998,-35.33,136.11,South Australia,White Shark,Fatal
1998,44.88,-124.04,Oregon USA,White Shark,Non-fatal
1998,37.9,-122.65,California USA,White Shark,Non-fatal
1998,-33,17.86,South Africa,White Shark,Non-fatal
1998,-34.09,22.98,South Africa,White Shark,Non-fatal
1998,-34.03,23.4,South Africa,White Shark,Non-fatal
1998,-35.51,138.71,South Australia,Wobbegong,Non-fatal
1999,30.32,-87.29,Florida USA,Blacktip ,Non-fatal
1999,24.7,-80.98,Florida USA,Bull,Non-fatal
1999,-34.09,22.98,South Africa,Other,Fatal
1999,-29.86,31.04,Durban South Africa,Other,Fatal
1999,-21.28,55.34,Reunion,Other,Fatal
1999,27.49,-80.3,Florida USA,Other,Non-fatal
1999,21.39,-157.7,Hawaii USA,Other,Non-fatal
1999,20.92,-156.7,Hawaii USA,Other,Non-fatal
1999,19.83,-155.99,Hawaii USA,Other,Non-fatal
1999,19.76,-155.09,Hawaii USA,Other,Non-fatal
1999,29.7,-84.53,Florida USA,Other,Non-fatal
1999,30.33,-81.39,Florida USA,Other,Non-fatal
1999,31.14,-81.37,Georgia USA,Other,Non-fatal
1999,31.14,-81.37,Georgia USA,Other,Non-fatal
1999,29.93,-81.3,Florida USA,Other,Non-fatal
1999,29.22,-81,Florida USA,Other,Non-fatal
1999,29.07,-80.91,Florida USA,Other,Non-fatal
1999,29.07,-80.91,Florida USA,Other,Non-fatal
1999,29.07,-80.91,Florida USA,Other,Non-fatal
1999,29.06,-80.9,Florida USA,Other,Non-fatal
1999,29.06,-80.9,Florida USA,Other,Non-fatal
1999,28.96,-80.84,Florida USA,Other,Non-fatal
1999,28.95,-80.83,Florida USA,Other,Non-fatal
1999,28.33,-80.61,Florida USA,Other,Non-fatal
1999,28.33,-80.61,Florida USA,Other,Non-fatal
1999,28.39,-80.6,Florida USA,Other,Non-fatal
1999,28.39,-80.6,Florida USA,Other,Non-fatal
1999,28.14,-80.58,Florida USA,Other,Non-fatal
1999,26.44,-80.06,Florida USA,Other,Non-fatal
1999,26.49,-80.05,Florida USA,Other,Non-fatal
1999,26.53,-80.05,Florida USA,Other,Non-fatal
1999,26.76,-80.04,Florida USA,Other,Non-fatal
1999,36.84,-75.98,Virginia USA,Other,Non-fatal
1999,-22.97,-43.03,Rio de Janeiro Brazil,Other,Non-fatal
1999,-8.13,-34.9,Recife Brazil,Other,Non-fatal
1999,-8.13,-34.9,Recife Brazil,Other,Non-fatal
1999,-30.74,153,New South Wales Australia,Other,Non-fatal
1999,-46.44,168.21,Southland New Zealand,Other,Non-fatal
1999,-46.44,168.21,Southland New Zealand,Other,Non-fatal
1999,-46.44,168.21,Southland New Zealand,Other,Non-fatal
1999,-22.87,-43.16,Rio de Janeiro Brazil,Requiem,Non-fatal
1999,-33.68,26.68,South Africa,Sand Tiger,Non-fatal
1999,-33.5,27.13,South Africa,Sand Tiger,Non-fatal
1999,-32.94,28.03,South Africa,Sand Tiger,Non-fatal
1999,-32.89,28.09,South Africa,Sand Tiger,Non-fatal
1999,27.08,-80.12,Florida USA,Spinner,Non-fatal
1999,27.08,-80.12,Florida USA,Spinner,Non-fatal
1999,19.64,-156.01,Hawaii USA,Tiger,Non-fatal
1999,-34.93,137.42,South Australia,White Shark,Fatal
1999,-34.23,18.85,Cape Town South Africa,White Shark,Non-fatal
1999,-32.84,28.12,South Africa,White Shark,Non-fatal
2000,27.8,-82.61,Florida USA,Bull,Fatal
2000,30.25,-87.68,Florida USA,Bull,Non-fatal
2000,30.25,-87.68,Florida USA,Bull,Non-fatal
2000,27.62,-80.35,Florida USA,Hammerhead,Non-fatal
2000,-6.77,39.28,Tanzania,Other,Fatal
2000,-6.77,39.28,Tanzania,Other,Fatal
2000,9.67,99.99,Thailand,Other,Fatal
2000,-5.37,146.94,Papua New Guinea,Other,Fatal
2000,-16.85,179.97,Fiji,Other,Fatal
2000,-2.81,-171.68,Kiribati,Other,Non-fatal
2000,20.81,-156.61,Hawaii USA,Other,Non-fatal
2000,20.91,-156.44,Hawaii USA,Other,Non-fatal
2000,27.67,-97.17,Texas USA,Other,Non-fatal
2000,27.83,-97.05,Texas USA,Other,Non-fatal
2000,30.41,-86.8,Florida USA,Other,Non-fatal
2000,26.36,-81.86,Florida USA,Other,Non-fatal
2000,30.27,-81.38,Florida USA,Other,Non-fatal
2000,29.94,-81.3,Florida USA,Other,Non-fatal
2000,29.34,-81.06,Florida USA,Other,Non-fatal
2000,29.31,-81.04,Florida USA,Other,Non-fatal
2000,29.28,-81.03,Florida USA,Other,Non-fatal
2000,29.22,-81,Florida USA,Other,Non-fatal
2000,29.21,-81,Florida USA,Other,Non-fatal
2000,29.22,-81,Florida USA,Other,Non-fatal
2000,29.07,-80.91,Florida USA,Other,Non-fatal
2000,29.06,-80.9,Florida USA,Other,Non-fatal
2000,29.03,-80.89,Florida USA,Other,Non-fatal
2000,29.04,-80.89,Florida USA,Other,Non-fatal
2000,29.03,-80.89,Florida USA,Other,Non-fatal
2000,28.99,-80.87,Florida USA,Other,Non-fatal
2000,28.33,-80.61,Florida USA,Other,Non-fatal
2000,28.19,-80.59,Florida USA,Other,Non-fatal
2000,28.17,-80.59,Florida USA,Other,Non-fatal
2000,27.95,-80.5,Florida USA,Other,Non-fatal
2000,27.86,-80.45,Florida USA,Other,Non-fatal
2000,27.62,-80.35,Florida USA,Other,Non-fatal
2000,27.64,-80.35,Florida USA,Other,Non-fatal
2000,27.49,-80.3,Florida USA,Other,Non-fatal
2000,25.73,-80.15,Florida USA,Other,Non-fatal
2000,28.89,-80.06,Florida USA,Other,Non-fatal
2000,26.53,-80.05,Florida USA,Other,Non-fatal
2000,26.78,-80.03,Florida USA,Other,Non-fatal
2000,26.78,-80.03,Florida USA,Other,Non-fatal
2000,26.77,-80.03,Florida USA,Other,Non-fatal
2000,32.65,-79.94,South Carolina USA,Other,Non-fatal
2000,32.8,-79.75,South Carolina USA,Other,Non-fatal
2000,27.05,-79.16,Bahamas,Other,Non-fatal
2000,33.91,-78.34,North Carolina USA,Other,Non-fatal
2000,34.19,-77.8,North Carolina USA,Other,Non-fatal
2000,34.19,-77.8,North Carolina USA,Other,Non-fatal
2000,25.05,-77.52,Bahamas,Other,Non-fatal
2000,25.04,-77.51,Bahamas,Other,Non-fatal
2000,34.69,-76.81,North Carolina USA,Other,Non-fatal
2000,36.38,-75.82,Virginia USA,Other,Non-fatal
2000,-34.81,20.06,South Africa,Other,Non-fatal
2000,-33.99,23.55,South Africa,Other,Non-fatal
2000,-33.22,27.58,South Africa,Other,Non-fatal
2000,-31.83,115.74,Western Australia,Other,Non-fatal
2000,-31.99,115.75,Western Australia,Other,Non-fatal
2000,-32.08,132.98,South Australia,Other,Non-fatal
2000,-18.66,146.5,Queensland Australia,Other,Non-fatal
2000,-5.47,147.04,Papua New Guinea,Other,Non-fatal
2000,-17.69,148.54,Queensland Australia,Other,Non-fatal
2000,-34.64,150.86,New South Wales Australia,Other,Non-fatal
2000,-33.85,151.24,Sydney Australia,Other,Non-fatal
2000,-33.5,151.43,Sydney Australia,Other,Non-fatal
2000,-0.82,-90.03,Galapagos Islands,Requiem,Non-fatal
2000,29.04,-80.89,Florida USA,Requiem,Non-fatal
2000,23.96,-74.56,Bahamas,Requiem,Non-fatal
2000,-21.33,55.45,Reunion,Tiger,Non-fatal
2000,-31.99,115.75,Western Australia,White Shark,Fatal
2000,24.84,125.28,Japan,White Shark,Fatal
2000,-32.09,132.98,South Australia,White Shark,Fatal
2000,-33.66,134.88,South Australia,White Shark,Fatal
2000,41.03,-124.12,California USA,White Shark,Non-fatal
2000,37.5,-122.49,California USA,White Shark,Non-fatal
2000,-32.99,27.95,South Africa,White Shark,Non-fatal
2000,-33.97,114.98,Western Australia,White Shark,Non-fatal
2000,-31.99,115.75,Western Australia,White Shark,Non-fatal
2000,-33.23,134.64,South Australia,White Shark,Non-fatal
2000,-27.96,153.43,Queensland Australia,White Shark,Non-fatal
2001,30.23,-88.03,Mississippi USA,Blacktip ,Non-fatal
2001,-28.85,153.6,New South Wales Australia,Bronze Whaler,Non-fatal
2001,36.85,-75.97,Virginia USA,Bull,Fatal
2001,30.33,-87.29,Florida USA,Bull,Non-fatal
2001,8.89,167.77,Marshall Islands,Grey Reef,Non-fatal
2001,-31.05,30.24,Durban South Africa,Mako,Non-fatal
2001,26.22,-80.05,Florida USA,Other,Fatal
2001,35.34,-75.5,North Carolina USA,Other,Fatal
2001,16.78,-24.96,Cape Verde,Other,Fatal
2001,21.3,-158.03,Hawaii USA,Other,Non-fatal
2001,21.29,-157.67,Hawaii USA,Other,Non-fatal
2001,21.01,-156.66,Hawaii USA,Other,Non-fatal
2001,31.89,-116.71,Baja California Mexico,Other,Non-fatal
2001,27.26,-97.24,Texas USA,Other,Non-fatal
2001,30.33,-87.14,Florida USA,Other,Non-fatal
2001,27.45,-82.69,Florida USA,Other,Non-fatal
2001,30.66,-81.43,Florida USA,Other,Non-fatal
2001,31.07,-81.4,Georgia USA,Other,Non-fatal
2001,29.11,-80.94,Florida USA,Other,Non-fatal
2001,29.08,-80.92,Florida USA,Other,Non-fatal
2001,29.07,-80.92,Florida USA,Other,Non-fatal
2001,29.08,-80.92,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.06,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.07,-80.91,Florida USA,Other,Non-fatal
2001,29.06,-80.9,Florida USA,Other,Non-fatal
2001,29.04,-80.89,Florida USA,Other,Non-fatal
2001,29.04,-80.89,Florida USA,Other,Non-fatal
2001,29.02,-80.88,Florida USA,Other,Non-fatal
2001,29.01,-80.88,Florida USA,Other,Non-fatal
2001,28.96,-80.84,Florida USA,Other,Non-fatal
2001,32.14,-80.75,South Carolina USA,Other,Non-fatal
2001,28.35,-80.6,Florida USA,Other,Non-fatal
2001,32.31,-80.47,South Carolina USA,Other,Non-fatal
2001,27.48,-80.29,Florida USA,Other,Non-fatal
2001,27.28,-80.21,Florida USA,Other,Non-fatal
2001,32.79,-79.78,South Carolina USA,Other,Non-fatal
2001,33.66,-78.91,North Carolina USA,Other,Non-fatal
2001,33.74,-78.82,North Carolina USA,Other,Non-fatal
2001,26.51,-78.63,Bahamas,Other,Non-fatal
2001,26.62,-78.28,Bahamas,Other,Non-fatal
2001,34.37,-77.6,North Carolina USA,Other,Non-fatal
2001,21.12,-75.84,Cuba,Other,Non-fatal
2001,35.34,-75.5,North Carolina USA,Other,Non-fatal
2001,21.8,-72.18,Turks and Caicos Islands,Other,Non-fatal
2001,-32.05,-52.14,Rio Grande do Sul Brazil,Other,Non-fatal
2001,-29.99,-50.12,Rio Grande do Sul Brazil,Other,Non-fatal
2001,-23.97,-46.34,São Paulo Brazil,Other,Non-fatal
2001,-33.25,151.57,Sydney Australia,Other,Non-fatal
2001,-30.65,153.01,New South Wales Australia,Other,Non-fatal
2001,-29.61,153.35,New South Wales Australia,Other,Non-fatal
2001,-29.43,153.37,New South Wales Australia,Other,Non-fatal
2001,-27.28,153.42,Queensland Australia,Other,Non-fatal
2001,17.66,-101.61,Guerrero Mexico,Tiger,Non-fatal
2001,-17.89,-39.37,Bahia Brazil,Tiger,Non-fatal
2001,-26.38,153.09,Queensland Australia,Tiger,Non-fatal
2001,37.02,-122.22,California USA,White Shark,Non-fatal
2001,-34.2,24.87,South Africa,White Shark,Non-fatal
2001,-33.01,27.93,South Africa,White Shark,Non-fatal
2001,-33.77,114.99,Western Australia,White Shark,Non-fatal
2001,-33.98,114.99,Western Australia,Wobbegong,Non-fatal
2002,-31.32,29.99,South Africa,Bronze Whaler,Non-fatal
2002,-26.4,153.12,Queensland Australia,Bronze Whaler,Non-fatal
2002,-28.08,153.44,New South Wales Australia,Bull,Fatal
2002,34.35,-77.65,North Carolina USA,Bull,Non-fatal
2002,-33.3,115.72,Western Australia,Bull,Non-fatal
2002,-32.74,152.17,New South Wales Australia,Bull,Non-fatal
2002,-16.67,145.93,Queensland Australia,Hammerhead,Non-fatal
2002,23.77,-76.11,Bahamas,Lemon,Non-fatal
2002,-8.18,-34.92,Recife Brazil,Other,Fatal
2002,21.87,-159.45,Hawaii USA,Other,Non-fatal
2002,20.72,-156.45,Hawaii USA,Other,Non-fatal
2002,45.2,-123.97,California USA,Other,Non-fatal
2002,32.85,-117.27,California USA,Other,Non-fatal
2002,29.55,-97.39,Texas USA,Other,Non-fatal
2002,29.89,-88.01,Mississippi USA,Other,Non-fatal
2002,10.33,-85.85,Costa Rica,Other,Non-fatal
2002,24.55,-81.81,Florida USA,Other,Non-fatal
2002,29.86,-81.26,Florida USA,Other,Non-fatal
2002,29.81,-81.26,Florida USA,Other,Non-fatal
2002,29.33,-81.06,Florida USA,Other,Non-fatal
2002,29.2,-80.99,Florida USA,Other,Non-fatal
2002,29.63,-80.92,Florida USA,Other,Non-fatal
2002,29.08,-80.92,Florida USA,Other,Non-fatal
2002,29.07,-80.91,Florida USA,Other,Non-fatal
2002,29.07,-80.91,Florida USA,Other,Non-fatal
2002,29.07,-80.91,Florida USA,Other,Non-fatal
2002,29.07,-80.91,Florida USA,Other,Non-fatal
2002,29.07,-80.91,Florida USA,Other,Non-fatal
2002,29.03,-80.89,Florida USA,Other,Non-fatal
2002,29.04,-80.89,Florida USA,Other,Non-fatal
2002,29.02,-80.88,Florida USA,Other,Non-fatal
2002,29.02,-80.88,Florida USA,Other,Non-fatal
2002,28.99,-80.87,Florida USA,Other,Non-fatal
2002,28.95,-80.84,Florida USA,Other,Non-fatal
2002,28.33,-80.61,Florida USA,Other,Non-fatal
2002,27.94,-80.49,Florida USA,Other,Non-fatal
2002,27.26,-80.2,Florida USA,Other,Non-fatal
2002,26.19,-80.09,Florida USA,Other,Non-fatal
2002,26.72,-80.05,Florida USA,Other,Non-fatal
2002,33.47,-79.1,South Carolina USA,Other,Non-fatal
2002,33.66,-78.92,North Carolina USA,Other,Non-fatal
2002,34.21,-77.79,North Carolina USA,Other,Non-fatal
2002,34.67,-77,North Carolina USA,Other,Non-fatal
2002,-8.18,-34.92,Recife Brazil,Other,Non-fatal
2002,-8.18,-34.92,Recife Brazil,Other,Non-fatal
2002,-8.17,-34.91,Recife Brazil,Other,Non-fatal
2002,-8.1,-34.88,Recife Brazil,Other,Non-fatal
2002,-34.2,18.37,Cape Town South Africa,Other,Non-fatal
2002,-28.97,31.78,KwaZulu-Natal South Africa,Other,Non-fatal
2002,-33.29,115.72,Western Australia,Other,Non-fatal
2002,-32.95,151.77,Newcastle Australia,Other,Non-fatal
2002,22.22,-159.46,Hawaii USA,Tiger,Non-fatal
2002,21.29,-157.86,Hawaii USA,Tiger,Non-fatal
2002,20.95,-156.69,Hawaii USA,Tiger,Non-fatal
2002,20.81,-156.6,Hawaii USA,Tiger,Non-fatal
2002,-32.38,133.92,South Australia,White Shark,Fatal
2002,41.63,-124.11,California USA,White Shark,Non-fatal
2002,38.33,-123.07,California USA,White Shark,Non-fatal
2002,37.9,-122.65,California USA,White Shark,Non-fatal
2002,-33.37,151.49,Sydney Australia,Wobbegong,Non-fatal
2003,-33.9,135.18,South Australia,Bronze Whaler,Non-fatal
2003,-28.09,153.44,New South Wales Australia,Bull,Fatal
2003,18.32,-64.94,Virgin Islands,Bull,Non-fatal
2003,36.02,-75.66,North Carolina USA,Mako,Non-fatal
2003,-16.71,-179.91,Fiji,Other,Fatal
2003,16.74,-169.53,American Samoa,Other,Non-fatal
2003,21.53,-158.23,Hawaii USA,Other,Non-fatal
2003,20.73,-156.45,Hawaii USA,Other,Non-fatal
2003,19.58,-155.97,Hawaii USA,Other,Non-fatal
2003,-0.49,-90.28,Galapagos Islands,Other,Non-fatal
2003,30.22,-81.37,Florida USA,Other,Non-fatal
2003,29.84,-81.26,Florida USA,Other,Non-fatal
2003,29.74,-81.24,Florida USA,Other,Non-fatal
2003,29.25,-81.02,Florida USA,Other,Non-fatal
2003,29.22,-81,Florida USA,Other,Non-fatal
2003,29.15,-80.97,Florida USA,Other,Non-fatal
2003,29.15,-80.96,Florida USA,Other,Non-fatal
2003,29.07,-80.91,Florida USA,Other,Non-fatal
2003,29.07,-80.91,Florida USA,Other,Non-fatal
2003,29.07,-80.91,Florida USA,Other,Non-fatal
2003,29.07,-80.91,Florida USA,Other,Non-fatal
2003,29.07,-80.91,Florida USA,Other,Non-fatal
2003,29.04,-80.89,Florida USA,Other,Non-fatal
2003,29.02,-80.88,Florida USA,Other,Non-fatal
2003,29.02,-80.88,Florida USA,Other,Non-fatal
2003,28.64,-80.62,Florida USA,Other,Non-fatal
2003,28.36,-80.6,Florida USA,Other,Non-fatal
2003,28.24,-80.6,Florida USA,Other,Non-fatal
2003,28.4,-80.59,Florida USA,Other,Non-fatal
2003,28.09,-80.57,Florida USA,Other,Non-fatal
2003,28.07,-80.56,Florida USA,Other,Non-fatal
2003,27.21,-80.17,Florida USA,Other,Non-fatal
2003,27.05,-80.11,Florida USA,Other,Non-fatal
2003,32.77,-79.8,South Carolina USA,Other,Non-fatal
2003,33.76,-78.78,North Carolina USA,Other,Non-fatal
2003,10.88,-63.97,Venezuela,Other,Non-fatal
2003,-23.84,-46.12,São Paulo Brazil,Other,Non-fatal
2003,-12.89,48.61,Comoros,Other,Non-fatal
2003,12.62,80.2,India,Other,Non-fatal
2003,-35.31,138.48,South Australia,Other,Non-fatal
2003,-38.27,144.53,Victoria Australia,Other,Non-fatal
2003,-33.92,151.26,Sydney Australia,Other,Non-fatal
2003,-32.43,152.53,New South Wales Australia,Other,Non-fatal
2003,-29.43,153.37,New South Wales Australia,Other,Non-fatal
2003,-22.97,-43.17,Rio de Janeiro Brazil,Requiem,Non-fatal
2003,22.23,-159.56,Hawaii USA,Tiger,Non-fatal
2003,35.18,-120.73,California USA,White Shark,Fatal
2003,-34.11,18.35,Cape Town South Africa,White Shark,Fatal
2003,-34.03,24.93,South Africa,White Shark,Non-fatal
2003,-30.27,153.14,New South Wales Australia,Wobbegong,Non-fatal
2004,19.95,-76.6,Cuba,Blue,Non-fatal
2004,-33.32,115.65,Western Australia,Bronze Whaler,Non-fatal
2004,-32.91,151.79,Newcastle Australia,Bronze Whaler,Non-fatal
2004,27.19,-80.16,Florida USA,Bull,Non-fatal
2004,10.26,-64.46,Venezuela,Bull,Non-fatal
2004,-8.1,-34.89,Recife Brazil,Bull,Non-fatal
2004,20.97,-156.68,Hawaii USA,Other,Fatal
2004,-8.16,-34.91,Recife Brazil,Other,Fatal
2004,27.93,34.37,Egypt,Other,Fatal
2004,22.22,-159.43,Hawaii USA,Other,Non-fatal
2004,40.77,-124.23,California USA,Other,Non-fatal
2004,26.56,-97.28,Texas USA,Other,Non-fatal
2004,26.09,-97.16,Texas USA,Other,Non-fatal
2004,29.27,-94.82,Texas USA,Other,Non-fatal
2004,29.45,-94.63,Texas USA,Other,Non-fatal
2004,30.25,-87.69,Florida USA,Other,Non-fatal
2004,27.74,-82.64,Florida USA,Other,Non-fatal
2004,26.42,-82.1,Florida USA,Other,Non-fatal
2004,29.48,-81.13,Florida USA,Other,Non-fatal
2004,29.48,-81.13,Florida USA,Other,Non-fatal
2004,29.27,-81.02,Florida USA,Other,Non-fatal
2004,29.17,-80.98,Florida USA,Other,Non-fatal
2004,28.95,-80.84,Florida USA,Other,Non-fatal
2004,28.29,-80.61,Florida USA,Other,Non-fatal
2004,26.79,-80.03,Florida USA,Other,Non-fatal
2004,26.77,-80.03,Florida USA,Other,Non-fatal
2004,33.77,-78.77,North Carolina USA,Other,Non-fatal
2004,34.03,-77.89,North Carolina USA,Other,Non-fatal
2004,26.75,-77.31,Bahamas,Other,Non-fatal
2004,35.62,-75.47,North Carolina USA,Other,Non-fatal
2004,-8.17,-34.92,Recife Brazil,Other,Non-fatal
2004,-8.17,-34.91,Recife Brazil,Other,Non-fatal
2004,-8.12,-34.89,Recife Brazil,Other,Non-fatal
2004,28.33,-16.36,Tenerife Spain,Other,Non-fatal
2004,-32.99,27.95,South Africa,Other,Non-fatal
2004,28.51,34.52,Egypt,Other,Non-fatal
2004,-21.03,55.22,Reunion,Other,Non-fatal
2004,-21.33,55.44,Reunion,Other,Non-fatal
2004,-21.04,55.72,Reunion,Other,Non-fatal
2004,-33.16,115.45,Western Australia,Other,Non-fatal
2004,-4.82,146.2,Papua New Guinea,Other,Non-fatal
2004,-30.73,152.99,New South Wales Australia,Other,Non-fatal
2004,-45.64,170.66,Otago New Zealand,Other,Non-fatal
2004,-33.55,-53.3,Uruguay,Sand Tiger,Non-fatal
2004,-34.03,24.93,South Africa,Sand Tiger,Non-fatal
2004,-32.94,28.03,South Africa,Sand Tiger,Non-fatal
2004,-34.6,150.9,New South Wales Australia,Sand Tiger,Non-fatal
2004,19.13,-155.5,Hawaii USA,Tiger,Non-fatal
2004,-17.5,177.25,Fiji,Tiger,Non-fatal
2004,39.45,-123.82,California USA,White Shark,Fatal
2004,-34.14,18.44,Cape Town South Africa,White Shark,Fatal
2004,-33.86,114.99,Western Australia,White Shark,Fatal
2004,-34.94,138.49,South Australia,White Shark,Fatal
2004,42.41,-124.43,California USA,White Shark,Non-fatal
2004,38.36,-123.07,California USA,White Shark,Non-fatal
2004,38.03,-122.91,California USA,White Shark,Non-fatal
2004,35.14,-120.64,California USA,White Shark,Non-fatal
2004,33.37,-117.57,California USA,White Shark,Non-fatal
2004,-34.11,18.47,Cape Town South Africa,White Shark,Non-fatal
2004,-33.99,114.99,Western Australia,Wobbegong,Non-fatal
2004,-32.02,115.48,Western Australia,Wobbegong,Non-fatal
2004,-31.84,115.75,Western Australia,Wobbegong,Non-fatal
2004,-31.84,115.75,Western Australia,Wobbegong,Non-fatal
2004,-32,152.57,New South Wales Australia,Wobbegong,Non-fatal
2004,-32.22,152.57,New South Wales Australia,Wobbegong,Non-fatal
2005,27.25,-82.54,Florida USA,Blacktip ,Non-fatal
2005,33.71,-78.86,North Carolina USA,Blacktip ,Non-fatal
2005,30.37,-86.36,Florida USA,Bull,Fatal
2005,26.72,-82.26,Florida USA,Bull,Non-fatal
2005,-27.54,152.85,Queensland Australia,Bull,Non-fatal
2005,-34.98,138.49,South Australia,Other,Fatal
2005,-15.94,167.34,Vanuatu,Other,Fatal
2005,20.95,-156.69,Hawaii USA,Other,Non-fatal
2005,20.69,-156.45,Hawaii USA,Other,Non-fatal
2005,20.93,-156.37,Hawaii USA,Other,Non-fatal
2005,23.17,-109.47,Baja California Mexico,Other,Non-fatal
2005,26.07,-97.15,Texas USA,Other,Non-fatal
2005,27.7,-97.15,Texas USA,Other,Non-fatal
2005,29.45,-94.63,Texas USA,Other,Non-fatal
2005,29.69,-85.38,Florida USA,Other,Non-fatal
2005,30.3,-81.39,Florida USA,Other,Non-fatal
2005,29.77,-81.25,Florida USA,Other,Non-fatal
2005,29.29,-81.03,Florida USA,Other,Non-fatal
2005,29.25,-81.02,Florida USA,Other,Non-fatal
2005,29.19,-80.99,Florida USA,Other,Non-fatal
2005,29.07,-80.91,Florida USA,Other,Non-fatal
2005,29.07,-80.91,Florida USA,Other,Non-fatal
2005,29.07,-80.91,Florida USA,Other,Non-fatal
2005,29.07,-80.91,Florida USA,Other,Non-fatal
2005,29.07,-80.91,Florida USA,Other,Non-fatal
2005,28.12,-80.58,Florida USA,Other,Non-fatal
2005,25.62,-80.28,Florida USA,Other,Non-fatal
2005,32.6,-80.08,South Carolina USA,Other,Non-fatal
2005,32.78,-79.79,South Carolina USA,Other,Non-fatal
2005,33.79,-78.73,North Carolina USA,Other,Non-fatal
2005,33.81,-78.68,North Carolina USA,Other,Non-fatal
2005,33.91,-78.31,North Carolina USA,Other,Non-fatal
2005,26.1,-77.54,Bahamas,Other,Non-fatal
2005,34.49,-77.43,North Carolina USA,Other,Non-fatal
2005,18.03,-63.09,Anguilla,Other,Non-fatal
2005,-34.61,19.41,South Africa,Other,Non-fatal
2005,-33,27.95,South Africa,Other,Non-fatal
2005,-32.69,28.38,South Africa,Other,Non-fatal
2005,-38.47,145.03,Victoria Australia,Other,Non-fatal
2005,-30.29,153.14,New South Wales Australia,Other,Non-fatal
2005,-17.81,178.61,Fiji,Other,Non-fatal
2005,29.41,-94.7,Texas USA,Requiem,Non-fatal
2005,21.67,-158.05,Hawaii USA,Tiger,Non-fatal
2005,-28.99,113.96,Western Australia,White Shark,Fatal
2005,41.55,-124.08,California USA,White Shark,Non-fatal
2005,45.95,-123.99,California USA,White Shark,Non-fatal
2005,38.35,-123.07,California USA,White Shark,Non-fatal
2005,37.48,-122.5,California USA,White Shark,Non-fatal
2005,39.66,-74.16,New Jersey USA,White Shark,Non-fatal
2005,-34.1,18.35,Cape Town South Africa,White Shark,Non-fatal
2005,-31.89,115.75,Western Australia,White Shark,Non-fatal
2005,36.54,126.33,South Korea,White Shark,Non-fatal
